aleatoric,epistemic
1.350008845329284668e-01,8.519178256392478943e-03
1.701516509056091309e-01,1.701847277581691742e-02
1.476211547851562500e-01,1.457563042640686035e-02
1.329415440559387207e-01,1.360423862934112549e-02
1.454284787178039551e-01,1.302750222384929657e-02
5.063045024871826172e-02,3.536206670105457306e-03
1.072715520858764648e-01,3.826606087386608124e-03
6.493252515792846680e-02,6.126785185188055038e-03
5.921930074691772461e-02,7.261304184794425964e-03
5.407202243804931641e-02,3.752236953005194664e-03
3.943568468093872070e-02,1.568074221722781658e-03
2.914786338806152344e-02,5.013021640479564667e-03
1.724818944931030273e-01,2.266523428261280060e-02
1.585135459899902344e-01,2.378340251743793488e-02
1.680319309234619141e-01,4.452550038695335388e-02
7.779693603515625000e-02,3.639731183648109436e-02
9.236419200897216797e-02,2.106945030391216278e-02
1.008985042572021484e-01,3.854947164654731750e-02
6.845772266387939453e-02,4.313529655337333679e-02
3.596705198287963867e-02,6.474853027611970901e-03
4.735356569290161133e-02,8.719424717128276825e-03
4.959636926651000977e-02,7.837800309062004089e-03
3.475421667098999023e-02,3.022470744326710701e-03
5.372166633605957031e-02,8.435259573161602020e-03
1.214783191680908203e-01,1.423007156699895859e-02
5.263727903366088867e-02,5.915814545005559921e-03
9.283238649368286133e-02,6.906642019748687744e-02
8.952921628952026367e-02,3.561805561184883118e-02
1.037654280662536621e-01,2.551838010549545288e-02
9.455794095993041992e-02,4.149096831679344177e-02
1.230978965759277344e-01,3.699275478720664978e-02
